Day,Temp,Month,Year
1,0.7,JANUARY,2019
2,0.6,JANUARY,2019
3,0.6,JANUARY,2019
4,0.5,JANUARY,2019
5,0.5,JANUARY,2019
6,0.5,JANUARY,2019
7,0.6,JANUARY,2019
8,0.7,JANUARY,2019
9,0.5,JANUARY,2019
10,0.8,JANUARY,2019
11,0.7,JANUARY,2019
12,0.8,JANUARY,2019
13,1.0,JANUARY,2019
14,1.0,JANUARY,2019
15,1.1,JANUARY,2019
16,1.2,JANUARY,2019
17,1.2,JANUARY,2019
18,1.2,JANUARY,2019
19,1.3,JANUARY,2019
20,1.2,JANUARY,2019
21,1.3,JANUARY,2019
22,1.2,JANUARY,2019
23,1.1,JANUARY,2019
24,1.1,JANUARY,2019
25,0.9,JANUARY,2019
26,0.9,JANUARY,2019
27,0.8,JANUARY,2019
28,0.7,JANUARY,2019
29,0.5,JANUARY,2019
30,0.4,JANUARY,2019
31,0.4,JANUARY,2019
1,0.4,FEBRUARY,2019
2,0.4,FEBRUARY,2019
3,0.5,FEBRUARY,2019
4,0.5,FEBRUARY,2019
5,0.6,FEBRUARY,2019
6,0.7,FEBRUARY,2019
7,0.7,FEBRUARY,2019
8,0.5,FEBRUARY,2019
9,0.2,FEBRUARY,2019
10,0.3,FEBRUARY,2019
11,0.4,FEBRUARY,2019
12,0.5,FEBRUARY,2019
13,0.4,FEBRUARY,2019
14,0.3,FEBRUARY,2019
15,0.3,FEBRUARY,2019
16,0.3,FEBRUARY,2019
17,0.3,FEBRUARY,2019
18,0.4,FEBRUARY,2019
19,0.4,FEBRUARY,2019
20,0.4,FEBRUARY,2019
21,0.4,FEBRUARY,2019
22,0.4,FEBRUARY,2019
23,0.4,FEBRUARY,2019
24,0.4,FEBRUARY,2019
25,0.2,FEBRUARY,2019
26,0.3,FEBRUARY,2019
27,0.6,FEBRUARY,2019
28,0.5,FEBRUARY,2019
1,0.5,MARCH,2019
2,0.5,MARCH,2019
3,0.6,MARCH,2019
4,0.6,MARCH,2019
5,0.8,MARCH,2019
6,0.7,MARCH,2019
7,0.7,MARCH,2019
8,0.7,MARCH,2019
9,0.7,MARCH,2019
10,0.7,MARCH,2019
11,0.5,MARCH,2019
12,0.5,MARCH,2019
13,0.4,MARCH,2019
14,0.5,MARCH,2019
15,0.4,MARCH,2019
16,0.3,MARCH,2019
17,0.3,MARCH,2019
18,0.2,MARCH,2019
19,0.3,MARCH,2019
20,0.3,MARCH,2019
21,0.3,MARCH,2019
22,0.4,MARCH,2019
23,0.4,MARCH,2019
24,0.6,MARCH,2019
25,1.0,MARCH,2019
26,1.3,MARCH,2019
27,1.7,MARCH,2019
28,2.0,MARCH,2019
29,2.4,MARCH,2019
30,2.5,MARCH,2019
31,2.5,MARCH,2019
1,2.6,APRIL,2019
2,3.0,APRIL,2019
3,3.2,APRIL,2019
4,3.2,APRIL,2019
5,3.3,APRIL,2019
6,3.4,APRIL,2019
7,4.0,APRIL,2019
8,4.4,APRIL,2019
9,5.1,APRIL,2019
10,5.3,APRIL,2019
11,5.6,APRIL,2019
12,5.8,APRIL,2019
13,6.2,APRIL,2019
14,6.5,APRIL,2019
15,6.1,APRIL,2019
16,5.9,APRIL,2019
17,6.1,APRIL,2019
18,7.0,APRIL,2019
19,7.5,APRIL,2019
20,7.5,APRIL,2019
21,7.5,APRIL,2019
22,7.5,APRIL,2019
23,8.1,APRIL,2019
24,8.4,APRIL,2019
25,8.3,APRIL,2019
26,8.7,APRIL,2019
27,8.6,APRIL,2019
28,8.4,APRIL,2019
29,8.4,APRIL,2019
30,8.4,APRIL,2019
1,8.7,MAY,2019
2,7.8,MAY,2019
3,8.6,MAY,2019
4,8.7,MAY,2019
5,8.8,MAY,2019
6,9.5,MAY,2019
7,10.9,MAY,2019
8,11.8,MAY,2019
9,12.3,MAY,2019
10,12.6,MAY,2019
11,12.7,MAY,2019
12,12.7,MAY,2019
13,12.3,MAY,2019
14,11.8,MAY,2019
15,11.6,MAY,2019
16,11.8,MAY,2019
17,12.4,MAY,2019
18,12.8,MAY,2019
19,13.5,MAY,2019
20,14.3,MAY,2019
21,14.8,MAY,2019
22,15.2,MAY,2019
23,15.5,MAY,2019
24,15.6,MAY,2019
25,15.8,MAY,2019
26,16.2,MAY,2019
27,16.6,MAY,2019
28,17.0,MAY,2019
29,16.7,MAY,2019
30,16.5,MAY,2019
31,16.6,MAY,2019
1,16.8,JUNE,2019
2,17.1,JUNE,2019
3,17.2,JUNE,2019
4,16.9,JUNE,2019
5,16.6,JUNE,2019
6,16.7,JUNE,2019
7,17.1,JUNE,2019
8,17.8,JUNE,2019
9,17.4,JUNE,2019
10,18.2,JUNE,2019
11,18.7,JUNE,2019
12,19.3,JUNE,2019
13,19.9,JUNE,2019
14,19.2,JUNE,2019
15,18.9,JUNE,2019
16,18.5,JUNE,2019
17,18.6,JUNE,2019
18,19.1,JUNE,2019
19,20.1,JUNE,2019
20,20.2,JUNE,2019
21,19.8,JUNE,2019
22,19.9,JUNE,2019
23,20.7,JUNE,2019
24,21.2,JUNE,2019
25,21.9,JUNE,2019
26,22.5,JUNE,2019
27,22.7,JUNE,2019
28,23.0,JUNE,2019
29,23.3,JUNE,2019
30,23.4,JUNE,2019
1,23.7,JULY,2019
2,23.9,JULY,2019
3,23.8,JULY,2019
4,22.5,JULY,2019
5,24.3,JULY,2019
6,24.3,JULY,2019
7,24.0,JULY,2019
8,25.0,JULY,2019
9,24.9,JULY,2019
10,24.8,JULY,2019
11,25.3,JULY,2019
12,25.4,JULY,2019
13,25.5,JULY,2019
14,25.2,JULY,2019
15,25.1,JULY,2019
16,25.4,JULY,2019
17,25.6,JULY,2019
18,25.5,JULY,2019
19,25.8,JULY,2019
20,26.3,JULY,2019
21,26.6,JULY,2019
22,26.4,JULY,2019
23,26.1,JULY,2019
24,26.0,JULY,2019
25,25.8,JULY,2019
26,25.7,JULY,2019
27,25.8,JULY,2019
28,25.1,JULY,2019
29,26.0,JULY,2019
30,26.1,JULY,2019
31,25.9,JULY,2019
1,24.3,AUGUST,2019
2,25.7,AUGUST,2019
3,25.8,AUGUST,2019
4,25.6,AUGUST,2019
5,25.6,AUGUST,2019
6,25.8,AUGUST,2019
7,25.6,AUGUST,2019
8,25.6,AUGUST,2019
9,25.0,AUGUST,2019
10,24.5,AUGUST,2019
11,24.1,AUGUST,2019
12,24.0,AUGUST,2019
13,23.9,AUGUST,2019
14,23.9,AUGUST,2019
15,23.6,AUGUST,2019
16,23.7,AUGUST,2019
17,24.0,AUGUST,2019
18,24.1,AUGUST,2019
19,24.5,AUGUST,2019
20,24.3,AUGUST,2019
21,24.6,AUGUST,2019
22,24.9,AUGUST,2019
23,24.3,AUGUST,2019
24,23.8,AUGUST,2019
25,23.5,AUGUST,2019
26,23.6,AUGUST,2019
27,23.5,AUGUST,2019
28,23.2,AUGUST,2019
29,23.1,AUGUST,2019
30,22.8,AUGUST,2019
31,22.3,AUGUST,2019
1,22.0,SEPTEMBER,2019
2,22.0,SEPTEMBER,2019
3,21.9,SEPTEMBER,2019
4,22.0,SEPTEMBER,2019
5,21.5,SEPTEMBER,2019
6,21.5,SEPTEMBER,2019
7,21.4,SEPTEMBER,2019
8,21.1,SEPTEMBER,2019
9,20.5,SEPTEMBER,2019
10,20.4,SEPTEMBER,2019
11,20.5,SEPTEMBER,2019
12,20.6,SEPTEMBER,2019
13,20.1,SEPTEMBER,2019
14,19.8,SEPTEMBER,2019
15,19.6,SEPTEMBER,2019
16,19.2,SEPTEMBER,2019
17,19.4,SEPTEMBER,2019
18,19.5,SEPTEMBER,2019
19,19.8,SEPTEMBER,2019
20,19.9,SEPTEMBER,2019
21,20.0,SEPTEMBER,2019
22,20.4,SEPTEMBER,2019
23,20.8,SEPTEMBER,2019
24,20.6,SEPTEMBER,2019
25,20.3,SEPTEMBER,2019
26,20.3,SEPTEMBER,2019
27,19.9,SEPTEMBER,2019
28,19.8,SEPTEMBER,2019
29,19.5,SEPTEMBER,2019
30,18.7,SEPTEMBER,2019
1,18.6,OCTOBER,2019
2,18.9,OCTOBER,2019
3,17.8,OCTOBER,2019
4,16.7,OCTOBER,2019
5,15.9,OCTOBER,2019
6,15.6,OCTOBER,2019
7,15.6,OCTOBER,2019
8,15.3,OCTOBER,2019
9,15.3,OCTOBER,2019
10,15.2,OCTOBER,2019
11,14.9,OCTOBER,2019
12,14.9,OCTOBER,2019
13,14.6,OCTOBER,2019
14,14.4,OCTOBER,2019
15,13.8,OCTOBER,2019
16,13.6,OCTOBER,2019
17,13.3,OCTOBER,2019
18,12.7,OCTOBER,2019
19,12.2,OCTOBER,2019
20,12.1,OCTOBER,2019
21,12.1,OCTOBER,2019
22,12.3,OCTOBER,2019
23,12.2,OCTOBER,2019
24,12.1,OCTOBER,2019
25,11.7,OCTOBER,2019
26,11.7,OCTOBER,2019
27,11.6,OCTOBER,2019
28,11.6,OCTOBER,2019
29,11.6,OCTOBER,2019
30,11.9,OCTOBER,2019
31,11.6,OCTOBER,2019
1,10.8,NOVEMBER,2019
2,10.0,NOVEMBER,2019
3,9.4,NOVEMBER,2019
4,8.6,NOVEMBER,2019
5,8.1,NOVEMBER,2019
6,7.5,NOVEMBER,2019
7,7.0,NOVEMBER,2019
8,6.3,NOVEMBER,2019
9,5.6,NOVEMBER,2019
10,4.9,NOVEMBER,2019
11,4.3,NOVEMBER,2019
12,3.3,NOVEMBER,2019
13,2.7,NOVEMBER,2019
14,2.2,NOVEMBER,2019
15,2.0,NOVEMBER,2019
16,1.3,NOVEMBER,2019
17,0.5,NOVEMBER,2019
18,0.5,NOVEMBER,2019
19,0.6,NOVEMBER,2019
20,0.7,NOVEMBER,2019
21,1.0,NOVEMBER,2019
22,1.1,NOVEMBER,2019
23,1.1,NOVEMBER,2019
24,1.3,NOVEMBER,2019
25,1.7,NOVEMBER,2019
26,2.0,NOVEMBER,2019
27,2.3,NOVEMBER,2019
28,2.4,NOVEMBER,2019
29,2.2,NOVEMBER,2019
30,1.9,NOVEMBER,2019
1,1.1,DECEMBER,2019
2,0.4,DECEMBER,2019
3,0.1,DECEMBER,2019
4,0.4,DECEMBER,2019
5,0.5,DECEMBER,2019
6,0.6,DECEMBER,2019
7,0.7,DECEMBER,2019
8,0.8,DECEMBER,2019
9,1.0,DECEMBER,2019
10,1.1,DECEMBER,2019
11,1.1,DECEMBER,2019
12,1.0,DECEMBER,2019
13,0.8,DECEMBER,2019
14,0.9,DECEMBER,2019
15,1.0,DECEMBER,2019
16,0.9,DECEMBER,2019
17,1.0,DECEMBER,2019
18,1.0,DECEMBER,2019
19,0.9,DECEMBER,2019
20,0.9,DECEMBER,2019
21,0.8,DECEMBER,2019
22,0.7,DECEMBER,2019
23,0.8,DECEMBER,2019
24,0.8,DECEMBER,2019
25,1.0,DECEMBER,2019
26,1.1,DECEMBER,2019
27,1.2,DECEMBER,2019
28,1.2,DECEMBER,2019
29,1.4,DECEMBER,2019
30,1.2,DECEMBER,2019
31,1.1,DECEMBER,2019
1,1.02,JANUARY,2020
2,0.90,JANUARY,2020
3,0.93,JANUARY,2020
4,0.91,JANUARY,2020
5,0.99,JANUARY,2020
6,0.94,JANUARY,2020
7,0.97,JANUARY,2020
8,1.07,JANUARY,2020
9,1.00,JANUARY,2020
10,0.93,JANUARY,2020
11,1.00,JANUARY,2020
12,0.87,JANUARY,2020
13,0.49,JANUARY,2020
14,0.38,JANUARY,2020
15,0.28,JANUARY,2020
16,0.19,JANUARY,2020
17,0.10,JANUARY,2020
18,0.13,JANUARY,2020
19,0.24,JANUARY,2020
20,0.19,JANUARY,2020
21,0.12,JANUARY,2020
22,0.14,JANUARY,2020
23,0.12,JANUARY,2020
24,0.05,JANUARY,2020
25,0.08,JANUARY,2020
26,0.04,JANUARY,2020
27,0.10,JANUARY,2020
28,0.25,JANUARY,2020
29,0.36,JANUARY,2020
30,0.33,JANUARY,2020
31,0.35,JANUARY,2020
1,0.37,FEBRUARY,2020
2,0.37,FEBRUARY,2020
3,0.41,FEBRUARY,2020
4,0.35,FEBRUARY,2020
5,0.40,FEBRUARY,2020
6,0.48,FEBRUARY,2020
7,0.40,FEBRUARY,2020
8,0.36,FEBRUARY,2020
9,0.29,FEBRUARY,2020
10,0.21,FEBRUARY,2020
11,0.20,FEBRUARY,2020
12,0.23,FEBRUARY,2020
13,0.28,FEBRUARY,2020
14,0.33,FEBRUARY,2020
15,0.37,FEBRUARY,2020
16,0.38,FEBRUARY,2020
17,0.44,FEBRUARY,2020
18,0.42,FEBRUARY,2020
19,0.45,FEBRUARY,2020
20,0.48,FEBRUARY,2020
21,0.50,FEBRUARY,2020
22,0.53,FEBRUARY,2020
23,0.61,FEBRUARY,2020
24,0.72,FEBRUARY,2020
25,0.83,FEBRUARY,2020
26,0.92,FEBRUARY,2020
27,0.89,FEBRUARY,2020
28,0.87,FEBRUARY,2020
29,0.83,FEBRUARY,2020
1,0.8,MARCH,2020
2,0.8,MARCH,2020
3,0.8,MARCH,2020
4,0.8,MARCH,2020
5,0.8,MARCH,2020
6,0.8,MARCH,2020
7,0.9,MARCH,2020
8,0.9,MARCH,2020
9,1.0,MARCH,2020
10,1.2,MARCH,2020
11,1.6,MARCH,2020
12,1.7,MARCH,2020
13,1.8,MARCH,2020
14,2.3,MARCH,2020
15,2.4,MARCH,2020
16,2.7,MARCH,2020
17,2.9,MARCH,2020
18,3.0,MARCH,2020
19,3.2,MARCH,2020
20,3.6,MARCH,2020
21,3.7,MARCH,2020
22,3.7,MARCH,2020
23,3.4,MARCH,2020
24,3.3,MARCH,2020
25,3.5,MARCH,2020
26,3.7,MARCH,2020
27,3.8,MARCH,2020
28,4.0,MARCH,2020
29,4.3,MARCH,2020
30,4.9,MARCH,2020
31,5.4,MARCH,2020
1,5.5,APRIL,2020
2,5.7,APRIL,2020
3,6.1,APRIL,2020
4,6.4,APRIL,2020
5,7.0,APRIL,2020
6,7.6,APRIL,2020
7,7.8,APRIL,2020
8,8.0,APRIL,2020
9,8.4,APRIL,2020
10,8.1,APRIL,2020
11,7.7,APRIL,2020
12,7.7,APRIL,2020
13,7.9,APRIL,2020
14,7.8,APRIL,2020
15,7.6,APRIL,2020
16,7.2,APRIL,2020
17,6.7,APRIL,2020
18,6.7,APRIL,2020
19,6.5,APRIL,2020
20,6.6,APRIL,2020
21,6.8,APRIL,2020
22,6.5,APRIL,2020
23,6.4,APRIL,2020
24,6.9,APRIL,2020
25,6.7,APRIL,2020
26,7.3,APRIL,2020
27,7.2,APRIL,2020
28,7.6,APRIL,2020
29,7.9,APRIL,2020
30,8.3,APRIL,2020
1,8.6,MAY,2020
2,9.1,MAY,2020
3,10.0,MAY,2020
4,10.7,MAY,2020
5,10.7,MAY,2020
6,11.0,MAY,2020
7,11.5,MAY,2020
8,10.9,MAY,2020
9,10.3,MAY,2020
10,10.0,MAY,2020
11,9.9,MAY,2020
12,9.6,MAY,2020
13,9.7,MAY,2020
14,10.1,MAY,2020
15,10.1,MAY,2020
16,10.0,MAY,2020
17,10.9,MAY,2020
18,12.0,MAY,2020
19,12.1,MAY,2020
20,12.4,MAY,2020
21,12.4,MAY,2020
22,13.5,MAY,2020
23,13.9,MAY,2020
24,15.3,MAY,2020
25,15.0,MAY,2020
26,17.0,MAY,2020
27,17.5,MAY,2020
28,17.1,MAY,2020
29,20.1,MAY,2020
30,19.8,MAY,2020
31,20.1,MAY,2020
1,19.6,JUNE,2020
2,19.2,JUNE,2020
3,18.9,JUNE,2020
4,19.1,JUNE,2020
5,19.7,JUNE,2020
6,19.4,JUNE,2020
7,20.3,JUNE,2020
8,20.6,JUNE,2020
9,20.9,JUNE,2020
10,21.6,JUNE,2020
11,22.0,JUNE,2020
12,21.9,JUNE,2020
13,21.2,JUNE,2020
14,21.0,JUNE,2020
15,20.8,JUNE,2020
16,21.3,JUNE,2020
17,21.5,JUNE,2020
18,21.6,JUNE,2020
19,21.8,JUNE,2020
20,22.5,JUNE,2020
21,22.8,JUNE,2020
22,22.7,JUNE,2020
23,23.5,JUNE,2020
24,24.5,JUNE,2020
25,23.3,JUNE,2020
26,23.3,JUNE,2020
27,23.3,JUNE,2020
28,23.3,JUNE,2020
29,23.6,JUNE,2020
30,24.0,JUNE,2020
1,24.2,JULY,2020
2,24.4,JULY,2020
3,24.6,JULY,2020
4,24.7,JULY,2020
5,25.1,JULY,2020
6,25.1,JULY,2020
7,25.7,JULY,2020
8,26.3,JULY,2020
9,26.7,JULY,2020
10,26.9,JULY,2020
11,26.5,JULY,2020
12,27.4,JULY,2020
13,27.7,JULY,2020
14,27.2,JULY,2020
15,27.0,JULY,2020
16,27.0,JULY,2020
17,26.5,JULY,2020
18,26.6,JULY,2020
19,26.9,JULY,2020
20,26.7,JULY,2020
21,26.3,JULY,2020
22,26.2,JULY,2020
23,26.1,JULY,2020
24,26.1,JULY,2020
25,26.4,JULY,2020
26,26.4,JULY,2020
27,26.6,JULY,2020
28,26.7,JULY,2020
29,26.5,JULY,2020
30,26.2,JULY,2020
31,26.2,JULY,2020
1,26.3,AUGUST,2020
2,26.4,AUGUST,2020
3,25.8,AUGUST,2020
4,25.9,AUGUST,2020
5,24.5,AUGUST,2020
6,24.7,AUGUST,2020
7,24.5,AUGUST,2020
8,24.6,AUGUST,2020
9,25.1,AUGUST,2020
10,25.0,AUGUST,2020
11,25.6,AUGUST,2020
12,25.6,AUGUST,2020
13,25.5,AUGUST,2020
14,25.5,AUGUST,2020
15,25.5,AUGUST,2020
16,25.7,AUGUST,2020
17,25.4,AUGUST,2020
18,24.9,AUGUST,2020
19,24.5,AUGUST,2020
20,24.3,AUGUST,2020
21,24.1,AUGUST,2020
22,24.1,AUGUST,2020
23,24.4,AUGUST,2020
24,24.9,AUGUST,2020
25,25.4,AUGUST,2020
26,24.6,AUGUST,2020
27,24.1,AUGUST,2020
28,23.7,AUGUST,2020
29,23.7,AUGUST,2020
30,23.2,AUGUST,2020
31,22.8,AUGUST,2020
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
