GLATOS_ARRAY,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,OTN_MISSION_ID,AR_CONFIRM,DATA_DOWNLOADED,INS_MODEL_NUMBER,INS_SERIAL_NUMBER,RECOVERED,RECOVER_DATE_TIME,GLATOS_RECOVER_DATE_TIME,GLATOS_TIMEZONE,RECOVER_LAT,RECOVER_LONG,GLATOS_PROJECT,GLATOS_VPS,COMMENTS,,,,,,,
BBA,,1,1,,,,,126961,Y,,2015-10-14 14:45,Eastern,,,ELOMA,No,,,,,,,,
BBA,,2,1,,,,,126966,Y,,2015-10-14 14:15,Eastern,,,ELOMA,No,,,,,,,,
BBA,,3,1,,,,,126963,Y,,2015-11-03 10:35,Eastern,,,ELOMA,No,,,,,,,,
BBG,,1,1,,,,,126990,Y,,2015-10-14 15:05,Eastern,,,ELOMA,No,,,,,,,,
BBG,,1,2,,,,,126991,Y,,2016-06-02 10:55,Eastern,,,ELOMA,No,,,,,,,,
BBG,,2,1,,,,,126998,Y,,2015-10-14 15:30,Eastern,,,ELOMA,No,,,,,,,,
BBG,,2,2,,,,,126984,Y,,2016-06-02 10:50,Eastern,,,ELOMA,No,,,,,,,,
CNW,,1,1,,,,,126978,Y,,2015-11-04 11:30,Eastern,,,ELOMA,No,,,,,,,,
CNW,,1,2,,,,,126957,Y,,2016-05-31 10:00,Eastern,,,ELOMA,No,,,,,,,,
CNW,,1,3,,,,,126975,Y,,2016-11-14 10:30,Eastern,,,ELOMA,No,,,,,,,,
CNW,,2,1,,,,,126977,Y,,2015-11-04 11:00,Eastern,,,ELOMA,No,,,,,,,,
CNW,,2,2,,,,,126965,Y,,2016-05-31 10:10,Eastern,,,ELOMA,No,,,,,,,,
CNW,,2,3,,,,,126956,Y,,2016-11-14 10:20,Eastern,,,ELOMA,No,,,,,,,,
CNW,,3,1,,,,,126962,Y,,2015-11-04 10:30,Eastern,,,ELOMA,No,,,,,,,,
CNW,,3,2,,,,,126964,Y,,2016-05-31 10:20,Eastern,,,ELOMA,No,,,,,,,,
CNW,,3,3,,,,,126968,Y,,2016-11-14 10:10,Eastern,,,ELOMA,No,,,,,,,,
CNW,,4,1,,,,,126979,Y,,2015-11-04 10:00,Eastern,,,ELOMA,No,,,,,,,,
CNW,,4,2,,,,,126986,Y,,2016-05-31 10:30,Eastern,,,ELOMA,No,,,,,,,,
CNW,,4,3,,,,,126977,Y,,2016-11-14 10:00,Eastern,,,ELOMA,No,,,,,,,,
DBG,,1,1,,,,,126986,Y,,2015-11-02 01:30,Eastern,,,ELOMA,No,,,,,,,,
DBG,,1,2,,,,,126992,Y,,2016-06-01 11:56,Eastern,,,ELOMA,No,,,,,,,,
DBG,,1,3,,,,,126986,Y,,2016-11-17 11:00,Eastern,,,ELOMA,No,,,,,,,,
GNR,,1,1,,,,,126989,Y,,2015-11-02 10:00,Eastern,,,ELOMA,No,,,,,,,,
GNR,,1,2,,,,,126990,Y,,2016-05-31 13:18,Eastern,,,ELOMA,No,,,,,,,,
GNR,,1,3,,,,,126967,Y,,2016-11-14 11:12,Eastern,,,ELOMA,No,,,,,,,,
GNR,,2,1,,,,,126964,Y,,2015-11-02 10:00,Eastern,,,ELOMA,No,,,,,,,,
GNR,,2,2,,,,,126961,Y,,2016-05-31 13:30,Eastern,,,ELOMA,No,,,,,,,,
GNR,,2,3,,,,,126971,Y,,2016-11-14 11:44,Eastern,,,ELOMA,No,,,,,,,,
HBY,,3,1,,,,,126965,Y,,2015-11-02 12:00,Eastern,,,ELOMA,No,,,,,,,,
HBY,,3,2,,,,,126974,Y,,2016-11-25 11:20,Eastern,,,ELOMA,No,,,,,,,,
HOW,,1,1,,,,,126976,Y,,2016-11-18 10:20,Eastern,,,ELOMA,No,,,,,,,,
HOW,,2,1,,,,,126998,Y,,2016-11-18 10:30,Eastern,,,ELOMA,No,,,,,,,,
IAM,,1,1,,,,,126995,Y,,2015-11-15 14:20,Eastern,,,ELOMA,No,,,,,,,,
IAM,,1,2,,,,,126968,Y,,2016-05-30 12:09,Eastern,,,ELOMA,No,,,,,,,,
IAM,,1,3,,,,,126972,Y,,2016-11-15 14:10,Eastern,,,ELOMA,No,,,,,,,,
IAM,,2,1,,,,,126976,Y,,2015-11-05 10:30,Eastern,,,ELOMA,No,,,,,,,,
IAM,,2,2,,,,,126977,Y,,2016-05-30 12:27,Eastern,,,ELOMA,No,,,,,,,,
IAM,,2,3,,,,,126997,Y,,2016-11-15 14:30,Eastern,,,ELOMA,No,,,,,,,,
IAM,,3,1,,,,,126971,Y,,2015-11-04 14:00,Eastern,,,ELOMA,No,,,,,,,,
IAM,,3,2,,,,,126956,Y,,2016-05-30 12:39,Eastern,,,ELOMA,No,,,,,,,,
IAM,,3,3,,,,,126958,Y,,2016-11-18 10:40,Eastern,,,ELOMA,No,,,,,,,,
IAM,,4,1,,,,,126967,Y,,2015-11-04 14:15,Eastern,,,ELOMA,No,,,,,,,,
IAM,,4,2,,,,,126983,Y,,2016-05-30 12:51,Eastern,,,ELOMA,No,,,,,,,,
IAM,,4,3,,,,,126969,Y,,2016-11-18 10:50,Eastern,,,ELOMA,No,,,,,,,,
IAM,,5,1,,,,,126973,Y,,2015-11-04 14:30,Eastern,,,ELOMA,No,,,,,,,,
IAM,,5,2,,,,,126974,Y,,2016-05-30 13:04,Eastern,,,ELOMA,No,,,,,,,,
IAM,,5,3,,,,,126995,Y,,2016-11-05 10:00,Eastern,,,ELOMA,No,,,,,,,,
LIN,,1,1,,,,,126970,Y,,2016-11-02 14:40,Eastern,,,ELOMA,No,,,,,,,,
LIN,,2,1,,,,,126963,Y,,2016-11-02 14:30,Eastern,,,ELOMA,No,,,,,,,,
LIN,,3,1,,,,,126981,Y,,2016-11-02 14:50,Eastern,,,ELOMA,No,,,,,,,,
LIN,,4,1,,,,,126988,Y,,2016-11-02 15:00,Eastern,,,ELOMA,No,,,,,,,,
LRH,,1,1,,,,,126999,Y,,2015-11-02 12:30,Eastern,,,ELOMA,No,,,,,,,,
LRH,,1,2,,,,,126996,Y,,2016-06-01 11:29,Eastern,,,ELOMA,No,,,,,,,,
LRH,,1,3,,,,,126983,Y,,2016-11-17 11:45,Eastern,,,ELOMA,No,,,,,,,,
MAM,,1,1,,,,,126975,Y,,2015-11-04 09:45,Eastern,,,ELOMA,No,,,,,,,,
MAM,,1,2,,,,,126985,Y,,2016-05-31 09:52,Eastern,,,ELOMA,No,,,,,,,,
MAM,,1,3,,,,,126978,Y,,2016-11-15 10:20,Eastern,,,ELOMA,No,,,,,,,,
MAM,,2,1,,,,,126981,Y,,2015-11-04 12:30,Eastern,,,ELOMA,No,,,,,,,,
MAM,,2,2,,,,,126987,Y,,2016-05-31 10:08,Eastern,,,ELOMA,No,,,,,,,,
MAM,,2,3,,,,,126980,Y,,2016-11-15 10:40,Eastern,,,ELOMA,No,,,,,,,,
MAM,,3,1,,,,,126968,Y,,2015-11-04 13:00,Eastern,,,ELOMA,No,,,,,,,,
MAM,,3,2,,,,,126989,Y,,2016-05-31 10:42,Eastern,,,ELOMA,No,,,,,,,,
MAM,,3,3,,,,,126973,Y,,2016-11-15 10:10,Eastern,,,ELOMA,No,,,,,,,,
MAM,,4,1,,,,,126980,Y,,2015-11-04 13:15,Eastern,,,ELOMA,No,,,,,,,,
MAM,,4,2,,,,,126999,Y,,2016-05-31 10:59,Eastern,,,ELOMA,No,,,,,,,,
MAM,,4,3,,,,,126979,Y,,2016-11-15 10:30,Eastern,,,ELOMA,No,,,,,,,,
MCL,,1,1,,,,,126956,Y,,2015-11-03 12:00,Eastern,,,ELOMA,No,,,,,,,,
MCL,,1,2,,,,,126957,Y,,2016-11-16 09:00,Eastern,,,ELOMA,No,,,,,,,,
MDI,,1,1,,,,,126996,Y,,2015-10-05 14:20,Eastern,,,ELOMA,No,,,,,,,,
MDI,,1,2,,,,,126994,Y,,2016-06-24 14:40,Eastern,,,ELOMA,No,,,,,,,,
MDI,,1,3,,,,,126959,Y,,2016-11-02 13:40,Eastern,,,ELOMA,No,,,,,,,,
MDI,,2,1,,,,,126991,Y,,2015-10-05 14:15,Eastern,,,ELOMA,No,,,,,,,,
MDI,,2,2,,,,,126976,Y,,2016-06-24 15:40,Eastern,,,ELOMA,No,,,,,,,,
MDI,,2,3,,,,,126992,Y,,2016-11-02 14:00,Eastern,,,ELOMA,No,,,,,,,,
MDI,,3,1,,,,,126993,Y,,2015-10-05 14:00,Eastern,,,ELOMA,No,,,,,,,,
MDI,,3,2,,,,,126960,Y,,2016-06-24 15:50,Eastern,,,ELOMA,No,,,,,,,,
MDI,,3,3,,,,,126996,Y,,2016-11-02 13:50,Eastern,,,ELOMA,No,,,,,,,,
MDI,,4,1,,,,,126984,Y,,2015-10-05 13:30,Eastern,,,ELOMA,No,,,,,,,,
MDI,,4,2,,,,,126981,Y,,2016-06-24 13:30,Eastern,,,ELOMA,No,,,,,,,,
MDI,,4,3,,,,,126964,Y,,2016-11-02 13:50,Eastern,,,ELOMA,No,,,,,,,,
MDI,,5,1,,,,,126992,Y,,2015-10-05 13:45,Eastern,,,ELOMA,No,,,,,,,,
MDI,,5,2,,,,,126988,Y,,2016-06-24 13:50,Eastern,,,ELOMA,No,,,,,,,,
MDI,,5,3,,,,,126987,Y,,2016-11-02 14:30,Eastern,,,ELOMA,No,,,,,,,,
MDI,,6,1,,,,,126959,Y,,2015-10-05 13:40,Eastern,,,ELOMA,No,,,,,,,,
MDI,,6,2,,,,,126970,Y,,2016-06-24 13:50,Eastern,,,ELOMA,No,,,,,,,,
MDI,,6,3,,,,,126966,Y,,2016-11-02 14:00,Eastern,,,ELOMA,No,,,,,,,,
MPT,,1,1,,,,,126974,Y,,2015-11-03 09:30,Eastern,,,ELOMA,No,,,,,,,,
MPT,,1,2,,,,,126993,Y,,2016-06-02 10:39,Eastern,,,ELOMA,No,,,,,,,,
MPT,,1,3,,,,,126987,Y,,2016-09-01 10:00,Eastern,,,ELOMA,No,,,,,,,,
MPT,,1,4,,,,,126984,Y,,2016-11-16 00:00,Eastern,,,ELOMA,No,,,,,,,,
OAM,,1,1,,,,,126997,Y,,2015-11-05 11:00,Eastern,,,ELOMA,No,,,,,,,,
OAM,,1,2,,,,,126979,Y,,2016-05-30 10:31,Eastern,,,ELOMA,No,,,,,,,,
OAM,,2,1,,,,,126970,Y,,2015-11-05 11:30,Eastern,,,ELOMA,No,,,,,,,,
OAM,,2,2,,,,,126973,Y,,2016-05-30 10:40,Eastern,,,ELOMA,No,,,,,,,,
OAM,,3,1,,,,,126988,Y,,2015-11-05 12:00,Eastern,,,ELOMA,No,,,,,,,,
OAM,,3,2,,,,,126980,Y,,2016-05-30 11:02,Eastern,,,ELOMA,No,,,,,,,,
OAM,,4,1,,,,,126994,Y,,2015-11-05 12:30,Eastern,,,ELOMA,No,,,,,,,,
OAM,,4,2,,,,,126978,Y,,2016-05-30 10:15,Eastern,,,ELOMA,No,,,,,,,,
OAM,,5,1,,,,,126960,Y,,2015-11-05 13:00,Eastern,,,ELOMA,No,,,,,,,,
OAM,,5,2,,,,,126975,Y,,2016-05-30 10:23,Eastern,,,ELOMA,No,,,,,,,,
OAM,,6,1,,,,,126969,Y,,2015-11-05 13:30,Eastern,,,ELOMA,No,,,,,,,,
OAM,,6,2,,,,,126967,Y,,2016-05-30 10:07,Eastern,,,ELOMA,No,,,,,,,,
OAM,,7,1,,,,,126958,Y,,2015-11-05 14:00,Eastern,,,ELOMA,No,,,,,,,,
OAM,,7,2,,,,,126971,Y,,2016-05-30 13:20,Eastern,,,ELOMA,No,,,,,,,,
PBM,,1,1,,,,,126990,Y,,2016-11-02 13:20,Eastern,,,ELOMA,No,,,,,,,,
PRS,,1,1,,,,,126994,Y,,2016-11-02 14:00,Eastern,,,ELOMA,No,,,,,,,,
PRS,,2,1,,,,,126991,Y,,2016-11-02 13:40,Eastern,,,ELOMA,No,,,,,,,,
PRS,,3,1,,,,,126993,Y,,2016-11-02 13:50,Eastern,,,ELOMA,No,,,,,,,,
PRS,,4,1,,,,,126960,Y,,2016-11-02 13:30,Eastern,,,ELOMA,No,,,,,,,,
TGN,,1,1,,,,,126987,Y,,2015-11-02 14:10,Eastern,,,ELOMA,No,,,,,,,,
TGN,,1,2,,,,,126959,Y,,2016-06-01 15:10,Eastern,,,ELOMA,No,,,,,,,,
TGN,,1,3,,,,,126985,Y,,2016-11-17 14:19,Eastern,,,ELOMA,No,,,,,,,,
TNN,,1,1,,,,,126982,Y,,2016-06-02 14:00,Eastern,,,ELOMA,No,,,,,,,,
TNN,,1,2,,,,,126999,Y,,2016-11-16 13:00,Eastern,,,ELOMA,No,,,,,,,,
TNN,,2,1,,,,,126983,Y,,2015-11-03 10:30,Eastern,,,ELOMA,No,,,,,,,,
TNN,,2,2,,,,,126963,Y,,2016-06-02 11:39,Eastern,,,ELOMA,No,,,,,,,,
TNN,,2,3,,,,,126989,Y,,2016-11-16 13:10,Eastern,,,ELOMA,No,,,,,,,,
TPT,,1,1,,,,,126957,Y,,2015-11-02 11:00,Eastern,,,ELOMA,No,,,,,,,,
TPT,,1,2,,,,,126998,Y,,2016-06-01 01:10,Eastern,,,ELOMA,No,,,,,,,,
TPT,,2,1,,,,,126985,Y,,2015-11-02 11:00,Eastern,,,ELOMA,No,,,,,,,,
TPT,,2,2,,,,,126966,Y,,2016-06-01 01:00,Eastern,,,ELOMA,No,,,,,,,,
WOL,,1,1,,,,,126982,Y,,2016-11-18 00:00,Eastern,,,ELOMA,No,,,,,,,,
MPT,,1,5,,,,,126968,Y,,2017-06-01 09:30,Eastern,,,ELOMA,No,,,,,,,,
LRH,,1,4,,,,,126971,Y,,2017-05-31 11:00,Eastern,,,ELOMA,No,,,,,,,,
TGN,,1,4,,,,,126956,Y,,2017-06-08 12:00,Eastern,,,ELOMA,No,,,,,,,,
HBY,,1,1,,,,,126973,Y,,2017-05-31 13:00,Eastern,,,ELOMA,No,,,,,,,,
HBY,,2,1,,,,,126989,Y,,2017-05-31 13:15,Eastern,,,ELOMA,No,,,,,,,,
TNN,,1,3,,,,,126967,Y,,2017-06-01 10:00,Eastern,,,ELOMA,No,,,,,,,,
TNN,,2,4,,,,,126975,Y,,2017-06-01 10:20,Eastern,,,ELOMA,No,,,,,,,,
CNW,,1,4,,,,,126966,Y,,2017-05-30 10:00,Eastern,,,ELOMA,No,,,,,,,,
CNW,,2,4,,,,,126963,Y,,2017-05-30 10:10,Eastern,,,ELOMA,No,,,,,,,,
CNW,,3,4,,,,,126996,Y,,2017-05-30 10:20,Eastern,,,ELOMA,No,,,,,,,,
CNW,,4,4,,,,,126962,Y,,2017-05-30 10:30,Eastern,,,ELOMA,No,,,,,,,,
GNR,,1,4,,,,,126964,Y,,2017-05-30 14:00,Eastern,,,ELOMA,No,,,,,,,,
GNR,,2,4,,,,,126992,Y,,2017-05-30 14:10,Eastern,,,ELOMA,No,,,,,,,,
MAM,,1,4,,,,,126965,Y,,2017-04-03 00:00,Eastern,,,ELOMA,No,,,,,,,,
MAM,,2,4,,,,,126960,Y,,2017-06-01 10:00,Eastern,,,ELOMA,No,,,,,,,,
MAM,,3,4,,,,,126988,Y,,2017-06-01 10:10,Eastern,,,ELOMA,No,,,,,,,,
MAM,,4,4,,,,,126981,Y,,2017-06-01 10:20,Eastern,,,ELOMA,No,,,,,,,,
DBG,,1,4,,,,,126977,Y,,2017-05-31 13:00,Eastern,,,ELOMA,No,,,,,,,,
IAM,,1,4,,,,,126993,Y,,2017-06-07 09:00,Eastern,,,ELOMA,No,,,,,,,,
IAM,,2,4,,,,,126987,Y,,2017-06-02 09:10,Eastern,,,ELOMA,No,,,,,,,,
IAM,,3,4,,,,,126991,Y,,2017-06-02 09:25,Eastern,,,ELOMA,No,,,,,,,,
IAM,,4,4,,,,,126961,Y,,2017-06-02 09:45,Eastern,,,ELOMA,No,,,,,,,,
IAM,,5,4,,,,,126959,Y,,2017-06-02 11:00,Eastern,,,ELOMA,No,,,,,,,,
MDI,,1,4,,,,,126981,Y,,2017-08-24 10:00,Eastern,,,ELOMA,No,,,,,,,,
MDI,,2,4,,,,,126975,Y,,2017-08-24 10:10,Eastern,,,ELOMA,No,,,,,,,,
MDI,,3,4,,,,,126960,Y,,2017-08-24 10:20,Eastern,,,ELOMA,No,,,,,,,,
MDI,,4,4,,,,,126989,Y,,2017-08-24 10:30,Eastern,,,ELOMA,No,,,,,,,,
MDI,,5,4,,,,,126961,Y,,2017-08-24 10:40,Eastern,,,ELOMA,No,,,,,,,,
MDI,,6,4,,,,,126956,Y,,2017-08-24 10:50,Eastern,,,ELOMA,No,,,,,,,,
MPT,,1,6,,,,,126966,Y,,2017-11-08 12:20,Eastern,,,ELOMA,No,,,,,,,,
LRH,,1,5,,,,,126996,Y,,2017-10-24 11:00,Eastern,,,ELOMA,No,,,,,,,,
TGN,,1,5,,,,,126987,Y,,2017-10-24 10:00,Eastern,,,ELOMA,No,,,,,,,,
HBY,,1,2,,,,,126964,Y,,2017-10-24 09:00,Eastern,,,ELOMA,No,,,,,,,,
HBY,,2,2,,,,,126992,Y,,2017-10-24 08:45,Eastern,,,ELOMA,No,,,,,,,,
TNN,,1,4,,,,,126977,Y,,2017-11-01 10:10,Eastern,,,ELOMA,No,,,,,,,,
TNN,,2,5,,,,,126973,Y,,2017-11-01 10:10,Eastern,,,ELOMA,No,,,,,,,,
MCL,,1,3,,,,,126999,Y,,2017-11-01 12:00,Eastern,,,ELOMA,No,,,,,,,,
PBM,,1,2,,,,,131935,Y,,2017-11-03 10:00,Eastern,,,ELOMA,No,,,,,,,,
CNW,,1,5,,,,,481185,Y,,2017-10-25 10:00,Eastern,,,ELOMA,No,,,,,,,,
CNW,,2,5,,,,,481186,Y,,2017-10-25 10:20,Eastern,,,ELOMA,No,,,,,,,,
CNW,,3,5,,,,,481190,Y,,2017-10-25 10:30,Eastern,,,ELOMA,No,,,,,,,,
CNW,,4,5,,,,,481189,Y,,2017-10-25 10:40,Eastern,,,ELOMA,No,,,,,,,,
DBG,,1,5,,,,,481252,Y,,2017-10-24 13:00,Eastern,,,ELOMA,No,,,,,,,,
GNR,,1,5,,,,,481188,Y,,2017-10-24 13:30,Eastern,,,ELOMA,No,,,,,,,,
GNR,,2,5,,,,,481187,Y,,2017-10-24 13:40,Eastern,,,ELOMA,No,,,,,,,,
MAM,,1,5,,,,,481248,Y,,2017-11-03 09:00,Eastern,,,ELOMA,No,,,,,,,,
MAM,,2,5,,,,,481249,Y,,2017-11-03 09:10,Eastern,,,ELOMA,No,,,,,,,,
MAM,,3,5,,,,,481250,Y,,2017-11-03 09:20,Eastern,,,ELOMA,No,,,,,,,,
MAM,,4,5,,,,,481251,Y,,2017-11-03 09:30,Eastern,,,ELOMA,No,,,,,,,,
IAM,,1,5,,,,,481253,Y,,2017-11-03 10:00,Eastern,,,ELOMA,No,,,,,,,,
IAM,,2,5,,,,,481254,Y,,2017-11-03 10:20,Eastern,,,ELOMA,No,,,,,,,,
IAM,,3,5,,,,,481255,Y,,2017-11-03 10:35,Eastern,,,ELOMA,No,,,,,,,,
IAM,,4,5,,,,,481256,Y,,2017-11-03 10:45,Eastern,,,ELOMA,No,,,,,,,,
IAM,,5,5,,,,,481257,Y,,2017-11-03 10:55,Eastern,,,ELOMA,No,,,,,,,,
TNT,23-TNT,1,1,,,,,126990,Y,,2017-11-07 14:55,Eastern,,,ELOMA,No,,,,,,,,
EAB,W14-EB9,9,1,,,,,126965,Y,,2017-11-07 10:55,Eastern,,,ELOMA,No,,,,,,,,
ASG,W18-ASG1,1,1,,,,,126957,Y,,2017-11-07 11:10,Eastern,,,ELOMA,No,,,,,,,,
FDI,W5-FDI,1,1,,,,,126958,Y,,2017-10-23 11:25,Eastern,,,ELOMA,No,,,,,,,,
EAB,W6-EB1,1,1,,,,,126969,Y,,2017-10-23 11:40,Eastern,,,ELOMA,No,,,,,,,,
LPT,W2-LPT,1,1,,,,,126970,Y,,2017-11-07 11:55,Eastern,,,ELOMA,No,,,,,,,,
EAB,W8-EB3,3,1,,,,,126972,Y,,2017-10-26 12:10,Eastern,,,ELOMA,No,,,,,,,,
EAB,W16-EB11,11,1,,,,,126974,Y,,2017-11-07 12:25,Eastern,,,ELOMA,No,,,,,,,,
GRI,W4-GRI2,2,1,,,,,126976,Y,,2017-10-23 12:40,Eastern,,,ELOMA,No,,,,,,,,
ASG,W19-ASG2,2,1,,,,,126978,Y,,2017-11-07 12:55,Eastern,,,ELOMA,No,,,,,,,,
ASG,W20-ASG3,3,1,,,,,126979,Y,,2017-11-07 13:10,Eastern,,,ELOMA,No,,,,,,,,
EAB,W17-EB12,12,1,,,,,126980,Y,,2017-11-07 13:25,Eastern,,,ELOMA,No,,,,,,,,
EAB,W10-EB5,5,1,,,,,126982,Y,,2017-11-07 13:40,Eastern,,,ELOMA,No,,,,,,,,
EAB,W15-EB10,10,1,,,,,126983,Y,,2017-11-07 13:55,Eastern,,,ELOMA,No,,,,,,,,
EAB,W7-EB2,2,1,,,,,126984,Y,,2017-10-26 14:10,Eastern,,,ELOMA,No,,,,,,,,
