GLATOS_ARRAY,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,OTN_MISSION_ID,AR_CONFIRM,DATA_DOWNLOADED,INS_MODEL_NUMBER,INS_SERIAL_NUMBER,RECOVERED,RECOVER_DATE_TIME,GLATOS_RECOVER_DATE_TIME,GLATOS_TIMEZONE,RECOVER_LAT,RECOVER_LONG,GLATOS_PROJECT,GLATOS_VPS,COMMENTS,,,,,,,
EAB,W12-EB7,7,1,,,,,126985,Y,,2017-10-26 14:25,Eastern,,,ELOMA,No,,,,,,,,
EAB,W13-EB8,8,1,,,,,126986,Y,,2017-11-07 14:40,Eastern,,,ELOMA,No,,,,,,,,
GRI,W3-GRI1,1,1,,,,,126994,Y,,2017-10-23 15:10,Eastern,,,ELOMA,No,,,,,,,,
EAB,W9-EB4,4,1,,,,,126995,Y,,2017-10-26 15:25,Eastern,,,ELOMA,No,,,,,,,,
FPT,W1-FPT,1,1,,,,,126997,Y,,2017-10-23 15:40,Eastern,,,ELOMA,No,,,,,,,,
EAB,W11-EB6,6,1,,,,,126998,Y,,2017-10-26 15:55,Eastern,,,ELOMA,No,,,,,,,,
NPR,,3,1,,,,,126977,Y,,2018-05-28 00:00,Eastern,,,ELOMA,No,,,,,,,,
CNW,,1,6,,,,,126988,Y,,2018-05-28 10:45,Eastern,,,ELOMA,No,,,,,,,,
CNW,,2,6,,,,,126968,Y,,2018-05-28 11:15,Eastern,,,ELOMA,No,,,,,,,,
CNW,,3,6,,,,,126981,Y,,2018-05-28 11:30,Eastern,,,ELOMA,No,,,,,,,,
CNW,,4,6,,,,,126963,Y,,2018-05-28 23:50,Eastern,,,ELOMA,No,,,,,,,,
GNR,,1,6,,,,,126989,Y,,2018-05-28 12:35,Eastern,,,ELOMA,No,,,,,,,,
GNR,,2,6,,,,,126975,Y,,2018-05-28 13:10,Eastern,,,ELOMA,No,,,,,,,,
EAB,W12-EB7,7,2,,,,,126996,Y,,2018-05-29 11:05,Eastern,,,ELOMA,No,,,,,,,,
EAB,W16-EB11,11,2,,,,,481250,Y,,2018-05-29 11:45,Eastern,,,ELOMA,No,,,,,,,,
EAB,W13-EB8,8,2,,,,,481254,Y,,2018-05-29 12:10,Eastern,,,ELOMA,No,,,,,,,,
EAB,W14-EB9,9,2,,,,,481256,Y,,2018-05-29 13:00,Eastern,,,ELOMA,No,,,,,,,,
EAB,W15-EB10,10,2,,,,,481257,Y,,2018-05-29 13:25,Eastern,,,ELOMA,No,,,,,,,,
ASG,W19-ASG2,2,2,,,,,481255,Y,,2018-05-29 14:00,Eastern,,,ELOMA,No,,,,,,,,
ASG,W20-ASG3,3,2,,,,,481251,Y,,2018-05-29 14:15,Eastern,,,ELOMA,No,,,,,,,,
EAB,W7-EB2,2,2,,,,,481189,Y,,2018-05-30 10:00,Eastern,,,ELOMA,No,,,,,,,,
EAB,W11-EB6,6,2,,,,,126987,Y,,2018-05-30 10:13,Eastern,,,ELOMA,No,,,,,,,,
EAB,W10-EB5,5,2,,,,,481248,Y,,2018-05-30 11:14,Eastern,,,ELOMA,No,,,,,,,,
EAB,W9-EB4,4,2,,,,,481186,Y,,2018-05-30 11:58,Eastern,,,ELOMA,No,,,,,,,,
EAB,W8-EB3,3,2,,,,,481185,Y,,2018-05-30 13:05,Eastern,,,ELOMA,No,,,,,,,,
FDI,W5-FDI,1,2,,,,,126961,Y,,2018-05-30 13:35,Eastern,,,ELOMA,No,,,,,,,,
EAB,W6-EB1,1,2,,,,,126962,Y,,2018-05-30 13:57,Eastern,,,ELOMA,No,,,,,,,,
TNT,,1,2,,,,,126986,Y,,2018-05-31 11:32,Eastern,,,ELOMA,No,,,,,,,,
MPT,,1,7,,,,,481249,Y,,2018-05-31 10:25,Eastern,,,ELOMA,No,,,,,,,,
TNN,,1,5,,,,,126995,Y,,2018-05-31 10:58,Eastern,,,ELOMA,No,,,,,,,,
TNN,,2,6,,,,,126964,Y,,2018-05-31 11:11,Eastern,,,ELOMA,No,,,,,,,,
MAM,,4,6,,,,,126992,Y,,2018-06-01 09:50,Eastern,,,ELOMA,No,,,,,,,,
MAM,,3,6,,,,,481190,Y,,2018-06-01 10:30,Eastern,,,ELOMA,No,,,,,,,,
MAM,,2,6,,,,,126984,Y,,2018-06-01 10:55,Eastern,,,ELOMA,No,,,,,,,,
MAM,,1,6,,,,,126985,Y,,2018-06-01 11:10,Eastern,,,ELOMA,No,,,,,,,,
IAM,,5,6,,,,,131934,Y,,2018-06-01 11:40,Eastern,,,ELOMA,No,,,,,,,,
IAM,,4,6,,,,,481252,Y,,2018-06-01 11:50,Eastern,,,ELOMA,No,,,,,,,,
IAM,,3,6,,,,,126976,Y,,2018-06-01 12:25,Eastern,,,ELOMA,No,,,,,,,,
IAM,,2,6,,,,,481188,Y,,2018-06-01 12:40,Eastern,,,ELOMA,No,,,,,,,,
IAM,,1,6,,,,,481187,Y,,2018-06-01 12:55,Eastern,,,ELOMA,No,,,,,,,,
TGN,,1,6,,,,,126994,Y,,2018-06-04 10:45,Eastern,,,ELOMA,No,,,,,,,,
DBG,,1,6,,,,,126960,Y,,2018-06-04 11:10,Eastern,,,ELOMA,No,,,,,,,,
LRH,,1,6,,,,,126969,Y,,2018-06-04 11:32,Eastern,,,ELOMA,No,,,,,,,,
HBY,,2,3,,,,,126958,Y,,2018-06-04 12:10,Eastern,,,ELOMA,No,,,,,,,,
HBY,,1,3,,,,,126997,Y,,2018-06-04 12:20,Eastern,,,ELOMA,No,,,,,,,,
GRI,W4-GRI2,2,2,,,,,126956,Y,,2018-06-05 10:53,Eastern,,,ELOMA,No,,,,,,,,
GRI,W3-GRI1,1,2,,,,,126967,Y,,2018-06-05 11:19,Eastern,,,ELOMA,No,,,,,,,,
FPT,W1-FPT,1,2,,,,,126959,Y,,2018-06-05 11:44,Eastern,,,ELOMA,No,,,,,,,,
PBM,,1,3,,,,,126965,Y,,2018-06-06 10:20,Eastern,,,ELOMA,No,,,,,,,,
MCL,,1,4,,,,,126972,Y,,2018-06-06 11:20,Eastern,,,ELOMA,No,,,,,,,,
NPR,,1,1,,,,,481253,Y,,2018-06-06 13:31,Eastern,,,ELOMA,No,,,,,,,,
NPR,,2,1,,,,,126970,Y,,2018-06-06 14:00,Eastern,,,ELOMA,No,,,,,,,,
MDI,,1,5,,,,,481253,Y,,2018-06-15 09:00,Eastern,,,ELOMA,No,,,,,,,,
MDI,,2,5,,,,,126958,Y,,2018-06-15 09:00,Eastern,,,ELOMA,No,,,,,,,,
MDI,,3,5,,,,,126994,Y,,2018-06-15 09:00,Eastern,,,ELOMA,No,,,,,,,,
MDI,,4,5,,,,,126972,Y,,2018-06-15 09:00,Eastern,,,ELOMA,No,,,,,,,,
MDI,,5,5,,,,,126965,Y,,2018-06-15 09:00,Eastern,,,ELOMA,No,,,,,,,,
MDI,,6,5,,,,,481252,Y,,2018-06-15 09:00,Eastern,,,ELOMA,No,,,,,,,,
NPR,,1,2,,,,,126967,Y,,2018-11-02 08:00,Eastern,,,ELOMA,No,,,,,,,,
NPR,,2,2,,,,,126959,Y,,2018-11-02 08:00,Eastern,,,ELOMA,No,,,,,,,,
ASG,W18-ASG1,1,2,,,,,126978,Y,,2018-11-20 00:00,Eastern,,,ELOMA,No,,,,,,,,
LPL,W21-LPL1,1,1,,,,,131935,Y,,2018-11-27 00:00,Eastern,,,ELOMA,No,,,,,,,,
LPL,W22-LPL2,2,1,,,,,126979,Y,,2018-11-27 00:00,Eastern,,,ELOMA,No,,,,,,,,
LPL,W23-LPL3,3,1,,,,,126957,Y,,2018-11-27 00:00,Eastern,,,ELOMA,No,,,,,,,,
LPT,W2-LPT,1,2,,,,,126983,Y,,2018-11-30 00:00,Eastern,,,ELOMA,No,,,,,,,,
LIN,,1,2,,,,,126966,Y,,2018-11-13 00:00,Eastern,,,ELOMA,No,,,,,,,,
LIN,,2,2,,,,,126990,Y,,2018-11-13 00:00,Eastern,,,ELOMA,No,,,,,,,,
LIN,,3,2,,,,,126991,Y,,2018-11-13 00:00,Eastern,,,ELOMA,No,,,,,,,,
HOW,,1,2,,,,,126980,Y,,2018-11-13 00:00,Eastern,,,ELOMA,No,,,,,,,,
HOW,,2,2,,,,,126974,Y,,2018-11-13 00:00,Eastern,,,ELOMA,No,,,,,,,,
WOL,,1,2,,,,,126971,Y,,2018-11-13 00:00,Eastern,,,ELOMA,No,,,,,,,,
CNW,,1,7,,,,,126993,Y,,2018-10-29 10:45,Eastern,,,ELOMA,No,,,,,,,,
CNW,,2,7,,,,,126973,Y,,2018-10-29 11:15,Eastern,,,ELOMA,No,,,,,,,,
CNW,,3,7,,,,,482004,Y,,2018-10-29 11:30,Eastern,,,ELOMA,No,,,,,,,,
CNW,,4,7,,,,,126999,Y,,2018-10-29 11:50,Eastern,,,ELOMA,No,,,,,,,,
GNR,,1,7,,,,,482001,Y,,2018-10-29 12:35,Eastern,,,ELOMA,No,,,,,,,,
GNR,,2,7,,,,,126998,Y,,2018-10-29 13:10,Eastern,,,ELOMA,No,,,,,,,,
EAB,W12-EB7,7,3,,,,,126989,Y,,2018-11-19 11:05,Eastern,,,ELOMA,No,,,,,,,,
EAB,W16-EB11,11,3,,,,,126988,Y,,2018-11-19 11:45,Eastern,,,ELOMA,No,,,,,,,,
EAB,W13-EB8,8,3,,,,,126963,Y,,2018-11-19 12:10,Eastern,,,ELOMA,No,,,,,,,,
EAB,W14-EB9,9,3,,,,,126975,Y,,2018-11-19 13:00,Eastern,,,ELOMA,No,,,,,,,,
EAB,W15-EB10,10,3,,,,,126981,Y,,2018-11-20 13:25,Eastern,,,ELOMA,No,,,,,,,,
ASG,W19-ASG2,2,3,,,,,482005,Y,,2018-11-20 14:00,Eastern,,,ELOMA,No,,,,,,,,
ASG,W20-ASG3,3,3,,,,,482003,Y,,2018-11-20 14:15,Eastern,,,ELOMA,No,,,,,,,,
EAB,W7-EB2,2,3,,,,,481254,Y,,2018-11-13 10:00,Eastern,,,ELOMA,No,,,,,,,,
EAB,W11-EB6,6,3,,,,,481251,Y,,2018-11-19 10:13,Eastern,,,ELOMA,No,,,,,,,,
EAB,W10-EB5,5,3,,,,,126996,Y,,2018-11-13 11:14,Eastern,,,ELOMA,No,,,,,,,,
EAB,W9-EB4,4,3,,,,,481256,Y,,2018-11-13 11:58,Eastern,,,ELOMA,No,,,,,,,,
EAB,W8-EB3,3,3,,,,,481255,Y,,2018-11-13 13:05,Eastern,,,ELOMA,No,,,,,,,,
FDI,W5-FDI,1,3,,,,,481257,Y,,2018-11-13 13:35,Eastern,,,ELOMA,No,,,,,,,,
EAB,W6-EB1,1,3,,,,,481250,Y,,2018-11-13 13:57,Eastern,,,ELOMA,No,,,,,,,,
MPT,,1,8,,,,,481185,Y,,2018-10-31 10:25,Eastern,,,ELOMA,No,,,,,,,,
TNN,,1,6,,,,,481189,Y,,2018-10-31 10:58,Eastern,,,ELOMA,No,,,,,,,,
TNN,,2,7,,,,,481248,Y,,2018-10-31 11:11,Eastern,,,ELOMA,No,,,,,,,,
TNT,,1,3,,,,,481186,Y,,2018-11-07 11:32,Eastern,,,ELOMA,No,,,,,,,,
MAM,,4,7,,,,,126986,Y,,2018-11-14 09:50,Eastern,,,ELOMA,No,,,,,,,,
MAM,,3,7,,,,,126964,Y,,2018-11-14 10:30,Eastern,,,ELOMA,No,,,,,,,,
MAM,,2,7,,,,,126995,Y,,2018-11-14 10:55,Eastern,,,ELOMA,No,,,,,,,,
MAM,,1,7,,,,,481249,Y,,2018-11-14 11:10,Eastern,,,ELOMA,No,,,,,,,,
IAM,,5,7,,,,,126962,Y,,2018-11-14 11:40,Eastern,,,ELOMA,No,,,,,,,,
IAM,,4,7,,,,,126977,Y,,2018-11-14 11:50,Eastern,,,ELOMA,No,,,,,,,,
IAM,,3,7,,,,,126961,Y,,2018-11-14 12:25,Eastern,,,ELOMA,No,,,,,,,,
IAM,,2,7,,,,,126987,Y,,2018-11-14 12:40,Eastern,,,ELOMA,No,,,,,,,,
IAM,,1,7,,,,,126968,Y,,2018-11-14 12:55,Eastern,,,ELOMA,No,,,,,,,,
TGN,,1,7,,,,,126976,Y,,2018-11-02 10:45,Eastern,,,ELOMA,No,,,,,,,,
DBG,,1,7,,,,,126992,Y,,2018-11-02 11:10,Eastern,,,ELOMA,No,,,,,,,,
LRH,,1,7,,,,,481187,Y,,2018-11-08 11:32,Eastern,,,ELOMA,No,,,,,,,,
HBY,,2,4,,,,,126985,Y,,2018-11-08 12:10,Eastern,,,ELOMA,No,,,,,,,,
HBY,,1,4,,,,,481188,Y,,2018-11-08 12:20,Eastern,,,ELOMA,No,,,,,,,,
GRI,W4-GRI2,2,3,,,,,131934,Y,,2018-11-27 10:53,Eastern,,,ELOMA,No,,,,,,,,
GRI,W3-GRI1,1,3,,,,,481190,Y,,2018-11-27 11:19,Eastern,,,ELOMA,No,,,,,,,,
FPT,W1-FPT,1,3,,,,,126984,Y,,2018-11-13 11:44,Eastern,,,ELOMA,No,,,,,,,,
PBM,,1,4,,,,,126956,Y,,2018-11-07 11:44,Eastern,,,ELOMA,No,,,,,,,,
MCL,,1,5,,,,,126960,Y,,2018-11-07 11:00,Eastern,,,ELOMA,No,,,,,,,,
CNW,,1,8,,,,,126969,Y,,2019-05-21 10:00,Eastern,,,ELOMA,No,,,,,,,,
CNW,,2,8,,,,,126970,Y,,2019-05-21 10:00,Eastern,,,ELOMA,No,,,,,,,,
CNW,,3,8,,,,,126997,Y,,2019-05-21 10:00,Eastern,,,ELOMA,No,,,,,,,,
CNW,,4,8,,,,,481253,Y,,2019-05-21 10:00,Eastern,,,ELOMA,No,,,,,,,,
GNR,,1,8,,,,,482000,Y,,2019-05-21 10:00,Eastern,,,ELOMA,No,,,,,,,,
GNR,,2,8,,,,,482002,Y,,2019-05-21 10:00,Eastern,,,ELOMA,No,,,,,,,,
HBY,,1,5,,,,,481186,Y,,2019-05-21 10:00,Eastern,,,ELOMA,No,,,,,,,,
HBY,,2,5,,,,,126998,Y,,2019-05-21 10:00,Eastern,,,ELOMA,No,,,,,,,,
IAM,,1,8,,,,,126971,Y,,2019-05-22 10:00,Eastern,,,ELOMA,No,,,,,,,,
IAM,,2,8,,,,,126990,Y,,2019-05-22 10:00,Eastern,,,ELOMA,No,,,,,,,,
IAM,,3,8,,,,,126991,Y,,2019-05-22 10:00,Eastern,,,ELOMA,No,,,,,,,,
IAM,,4,8,,,,,126974,Y,,2019-05-22 10:00,Eastern,,,ELOMA,No,,,,,,,,
IAM,,5,8,,,,,126966,Y,,2019-05-22 10:00,Eastern,,,ELOMA,No,,,,,,,,
MAM,,1,8,,,,,126980,Y,,2019-05-22 10:00,Eastern,,,ELOMA,No,,,,,,,,
MAM,,2,8,,,,,481257,Y,,2019-05-22 10:00,Eastern,,,ELOMA,No,,,,,,,,
MAM,,3,8,,,,,481255,Y,,2019-05-22 10:00,Eastern,,,ELOMA,No,,,,,,,,
MAM,,4,8,,,,,126984,Y,,2019-05-22 10:00,Eastern,,,ELOMA,No,,,,,,,,
MOR,,1,1,,,,,126961,Y,,2019-05-23 10:00,Eastern,,,ELOMA,No,,,,,,,,
MPT,,1,9,,,,,482001,Y,,2019-05-23 10:00,Eastern,,,ELOMA,No,,,,,,,,
TNN,,1,7,,,,,482004,Y,,2019-05-23 10:00,Eastern,,,ELOMA,No,,,,,,,,
TNN,,2,8,,,,,126999,Y,,2019-05-23 10:00,Eastern,,,ELOMA,No,,,,,,,,
TNT,,1,4,,,,,126959,Y,,2019-05-23 10:00,Eastern,,,ELOMA,No,,,,,,,,
ASG,W19-ASG2,2,4,,,,,126986,Y,,2019-05-24 10:00,Eastern,,,ELOMA,No,,,,,,,,
ASG,W20-ASG3,3,4,,,,,126995,Y,,2019-05-24 10:00,Eastern,,,ELOMA,No,,,,,,,,
EAB,W15-EB10,10,4,,,,,481256,Y,,2019-05-24 10:00,Eastern,,,ELOMA,No,,,,,,,,
EAB,W17-EB12,12,4,,,,,481250,Y,,2019-05-24 10:00,Eastern,,,ELOMA,No,,,,,,,,
EAB,W14-EB9,9,4,,,,,481254,Y,,2019-05-24 10:00,Eastern,,,ELOMA,No,,,,,,,,
LIN,,1,3,,,,,481188,Y,,2019-05-24 10:00,Eastern,,,ELOMA,No,,,,,,,,
LIN,,2,3,,,,,126985,Y,,2019-05-24 10:00,Eastern,,,ELOMA,No,,,,,,,,
LIN,,3,3,,,,,481187,Y,,2019-05-24 10:00,Eastern,,,ELOMA,No,,,,,,,,
WOL,,1,3,,,,,126960,Y,,2019-05-24 10:00,Eastern,,,ELOMA,No,,,,,,,,
EAB,W7-EB2,2,4,,,,,126958,Y,,2019-05-27 10:00,Eastern,,,ELOMA,No,,,,,,,,
EAB,W10-EB5,5,4,,,,,129986,Y,,2019-05-27 10:00,Eastern,,,ELOMA,No,,,,,,,,
EAB,W11-EB6,6,4,,,,,126962,Y,,2019-05-27 10:00,Eastern,,,ELOMA,No,,,,,,,,
DBG,,1,8,,,,,481185,Y,,2019-05-28 10:00,Eastern,,,ELOMA,No,,,,,,,,
LRH,,1,8,,,,,481189,Y,,2019-05-28 10:00,Eastern,,,ELOMA,No,,,,,,,,
NPR,,1,3,,,,,126993,Y,,2019-05-28 10:00,Eastern,,,ELOMA,No,,,,,,,,
NPR,,2,3,,,,,126973,Y,,2019-05-28 10:00,Eastern,,,ELOMA,No,,,,,,,,
TGN,,1,8,,,,,481248,Y,,2019-05-28 10:00,Eastern,,,ELOMA,No,,,,,,,,
EAB,W8-EB3,3,4,,,,,126992,Y,,2019-05-29 10:00,Eastern,,,ELOMA,No,,,,,,,,
EAB,W9-EB4,4,4,,,,,126994,Y,,2019-05-29 10:00,Eastern,,,ELOMA,No,,,,,,,,
EAB,W12-EB7,7,4,,,,,126977,Y,,2019-05-29 10:00,Eastern,,,ELOMA,No,,,,,,,,
EAB,W16-EB11,11,4,,,,,126996,Y,,2019-05-29 10:00,Eastern,,,ELOMA,No,,,,,,,,
FDI,W5-FDI,1,4,,,,,126972,Y,,2019-05-29 10:00,Eastern,,,ELOMA,No,,,,,,,,
FPT,W1-FPT,1,4,,,,,481252,Y,,2019-05-29 10:00,Eastern,,,ELOMA,No,,,,,,,,
LPL,W21-LPL1,1,2,,,,,482005,Y,,2019-05-29 10:00,Eastern,,,ELOMA,No,,,,,,,,
LPL,W22-LPL2,2,2,,,,,482003,Y,,2019-05-29 10:00,Eastern,,,ELOMA,No,,,,,,,,
LPL,W23-LPL3,3,2,,,,,126978,Y,,2019-05-29 10:00,Eastern,,,ELOMA,No,,,,,,,,
EAB,W6-EB1,1,4,,,,,126965,Y,,2019-05-30 10:00,Eastern,,,ELOMA,No,,,,,,,,
GRI,W4-GRI2,2,4,,,,,126975,Y,,2019-05-30 10:00,Eastern,,,ELOMA,No,,,,,,,,
LPT,W2-LPT,1,3,,,,,126989,Y,,2019-05-30 10:00,Eastern,,,ELOMA,No,,,,,,,,
EAB,W13-EB8,8,4,,,,,126964,Y,,2019-05-31 10:00,Eastern,,,ELOMA,No,,,,,,,,
GRI,W3-GRI1,1,4,,,,,481251,Y,,2019-05-31 10:00,Eastern,,,ELOMA,No,,,,,,,,
PBY,,1,1,,,,,126987,Y,,2019-06-03 10:00,Eastern,,,ELOMA,No,,,,,,,,
ASG,W18-ASG1,1,3,,,,,481249,Y,,2019-06-28 10:00,Eastern,,,ELOMA,No,,,,,,,,
HOW,,1,3,,,,,126956,Y,,2019-06-28 10:00,Eastern,,,ELOMA,No,,,,,,,,
HOW,,2,3,,,,,126967,Y,,2019-06-28 10:00,Eastern,,,ELOMA,No,,,,,,,,
CPV,W24-CPV1,1,1,,,,,128975,Y,,2019-08-27 10:00,Eastern,,,ELOMA,No,,,,,,,,
CPV,W25-CPV2,2,1,,,,,128974,Y,,2019-08-27 10:00,Eastern,,,ELOMA,No,,,,,,,,
LND,W26-LND1,1,1,,,,,129985,Y,,2019-08-26 10:00,Eastern,,,ELOMA,No,,,,,,,,
LND,W27-LND2,2,1,,,,,128983,Y,,2019-08-26 10:00,Eastern,,,ELOMA,No,,,,,,,,
EAB,W15-EB10,10,5,,,,,126957,Y,,2019-10-08 10:00,Eastern,,,ELOMA,No,,,,,,,,
EAB,W16-EB11,11,5,,,,,126958,Y,,2019-10-08 10:00,Eastern,,,ELOMA,No,,,,,,,,
ASG,W20-ASG3,3,5,,,,,126959,Y,,2019-10-08 10:00,Eastern,,,ELOMA,No,,,,,,,,
ASG,W19-ASG2,2,5,,,,,126961,Y,,2019-10-08 10:00,Eastern,,,ELOMA,No,,,,,,,,
HOW,,2,4,,,,,126987,Y,,2019-10-08 10:00,Eastern,,,ELOMA,No,,,,,,,,
EAB,W6-EB1,1,5,,,,,126996,Y,,2019-10-08 10:00,Eastern,,,ELOMA,No,,,,,,,,
CNW,,2,9,,,,,126963,Y,,2019-10-15 10:00,Eastern,,,ELOMA,No,,,,,,,,
CNW,,3,9,,,,,126968,Y,,2019-10-15 10:00,Eastern,,,ELOMA,No,,,,,,,,
CNW,,4,9,,,,,126976,Y,,2019-10-15 10:00,Eastern,,,ELOMA,No,,,,,,,,
IAM,,2,9,,,,,482002,Y,,2019-10-15 10:00,Eastern,,,ELOMA,No,,,,,,,,
IAM,,3,9,,,,,126969,Y,,2019-10-15 10:00,Eastern,,,ELOMA,No,,,,,,,,
IAM,,5,9,,,,,482000,Y,,2019-10-15 10:00,Eastern,,,ELOMA,No,,,,,,,,
TNT,,1,5,,,,,126974,Y,,2019-10-30 10:00,Eastern,,,ELOMA,No,,,,,,,,
